FILENAME,Dataset,Nb inputs,Fq DKO,Fq DKN,Fq TOT,% DKO,% DKN,% TOT,Nb names,Modal name,Fq modal name,% Name Agreement (/Fq inputs),% Name Agreement (/Fq names),Nb diff names,H-value,Familiarity Nb inputs,Familiarity Mean,Familiarity StDev,Visual complexity Nb inputs,Visual complexity Mean,Visual complexity StDev,Nb categories (answer1),Nb categories (answer2),Nb categories (all answers),Modal category,Fq (answer1),Fq (answer2),% Category Agreement,% Category Agreement (all answers),Hcat-value
tennisracket,BOSS-2014 (v.2),42,0,0,0,0,0,0,42,Tennis racket,26,0.6190476190476191,0.6190476190476191,4,1.2895281606953655,42,4.357142857142857,0.87850839693444,42,2.1904761904761907,1.0873573971677286,33,1,34,Outdoor activity & sport item,32,1,0.9696969696969697,0.9705882352941176,0.19590927087360496
tiger02,BOSS-2014 (v.2),42,0,0,0,0,0,0,42,tiger,40,0.9523809523809523,0.9523809523809523,3,0.3238144752669867,42,4.357142857142857,0.87850839693444,42,3.119047619047619,1.3828634299777411,33,0,33,Feline,22,0,0.6666666666666666,0.6666666666666666,1.2835609190548007
toolbox02,BOSS-2014 (v.2),42,0,1,1,0,0.023809523809523808,0.023809523809523808,40,Toolbox,37,0.8809523809523809,0.925,3,0.45318373168058357,42,4.357142857142857,0.7908448267958043,42,2.0714285714285716,0.9472130402153502,33,0,33,Hand labour tool & accessory,26,0,0.7878787878787878,0.7878787878787878,0.9892100846279928
toyfiretruck,BOSS-2014 (v.2),42,0,2,0,0,0.047619047619047616,0,40,toy truck,21,0.5,0.525,9,2.0666072366525854,42,4.357142857142857,0.9323829573164001,42,1.9523809523809523,0.9358022761866653,33,15,48,Gamestoy & entertainment,17,8,0.5151515151515151,0.5208333333333334,0.9993375041688846
treestump,BOSS-2014 (v.2),42,0,1,0,0,0.023809523809523808,0,41,Tree stump,24,0.5714285714285714,0.5853658536585366,8,1.8618614550460832,42,4.357142857142857,0.8211065874017597,42,2.738095238095238,1.3978995359680528,32,0,32,Natural element,32,0,1,1,0
visor,BOSS-2014 (v.2),42,0,2,0,0,0.047619047619047616,0,40,visor,19,0.4523809523809524,0.475,10,2.4164181508934854,42,4.357142857142857,0.7265497673662346,42,1.7380952380952381,0.8281487968552926,33,1,34,Clothing,31,0,0.9393939393939394,0.9117647058823529,0.32984607020714635
bread,BOSS-2014 (v.2),41,0,1,0,0,0.024390243902439025,0,40,Bread,25,0.6097560975609756,0.625,8,1.8629014136158988,41,4.341463414634147,1.10927354826393,41,2.3902439024390243,1.1592680617632791,33,0,33,Food,32,0,0.9696969696969697,0.9696969696969697,0.19590927087360496
bucket02,BOSS-2014 (v.2),42,1,3,0,0.023809523809523808,0.07142857142857142,0,38,Bucket,19,0.4523809523809524,0.5,12,2.577782506664859,41,4.341463414634147,0.9383431168171105,41,1.951219512195122,0.998779743291661,33,0,33,Hand labour tool & accessory,14,0,0.42424242424242425,0.42424242424242425,1.680509235473
manholecover,BOSS-2014 (v.2),42,0,2,3,0,0.047619047619047616,0.07142857142857142,37,Sewer,7,0.16666666666666666,0.1891891891891892,14,3.438486137647046,42,4.341463414634147,1.0394651532774197,42,2.0238095238095237,0.840676128528589,32,0,32,Building infrastructure,24,0,0.75,0.75,1.3501878900165245
phonebooth,BOSS-2014 (v.2),42,0,0,0,0,0,0,42,Phone booth,17,0.40476190476190477,0.40476190476190477,14,2.5924939790385237,41,4.341463414634147,0.8249168472507089,41,2.5365853658536586,1.0976693713411556,33,5,38,Building infrastructure,23,2,0.696969696969697,0.6578947368421053,1.1643357863490202
badmintonracket,BOSS-2014 (v.2),42,0,0,0,0,0,0,42,Badminton Racket,32,0.7619047619047619,0.7619047619047619,4,1.1158974114826457,42,4.333333333333333,0.9016696346674328,42,2.0476190476190474,0.9358022761866653,33,2,35,Outdoor activity & sport item,31,2,0.9393939393939394,0.9428571428571428,0.32984607020714635
baseballglove,BOSS-2014 (v.2),42,0,0,0,0,0,0,42,baseball glove,26,0.6190476190476191,0.6190476190476191,5,1.4812416971435542,42,4.333333333333333,0.9542374472273962,42,2.4047619047619047,0.9385906354489059,33,3,36,Outdoor activity & sport item,28,2,0.8484848484848485,0.8333333333333334,0.7607327460318964
bench01,BOSS-2014 (v.2),42,0,1,0,0,0.023809523809523808,0,41,bench,31,0.7380952380952381,0.7560975609756098,7,1.3677938187158123,42,4.333333333333333,1.0040568117894593,42,1.7142857142857142,0.8050364114084404,32,0,32,Furniture,28,0,0.875,0.875,0.7310644431995963
blackbear,BOSS-2014 (v.2),42,0,0,0,0,0,0,42,Bear,21,0.5,0.5,4,1.3614289488664846,42,4.333333333333333,0.9016696346674328,42,3.0714285714285716,1.4209728227753697,33,0,33,Mammal,32,0,0.9696969696969697,0.9696969696969697,0.19590927087360496
bumpercar,BOSS-2014 (v.2),42,0,0,3,0,0,0.07142857142857142,39,Bumper car,35,0.8333333333333334,0.8974358974358975,5,0.6821995113475348,42,4.333333333333333,0.8742011452042509,42,2.9047619047619047,1.2456661223094467,33,9,42,Vehicle,20,1,0.6060606060606061,0.5,1.271899885941559
campfire,BOSS-2014 (v.2),42,0,0,0,0,0,0,42,fire,16,0.38095238095238093,0.38095238095238093,9,2.466823008415026,42,4.333333333333333,0.9542374472273962,42,2.9285714285714284,1.3505709207023116,33,2,35,Natural element,21,0,0.6363636363636364,0.6,1.5220103048628786
carmat,BOSS-2014 (v.2),42,0,2,2,0,0.047619047619047616,0.047619047619047616,38,car mat,15,0.35714285714285715,0.39473684210526316,11,2.6435094368454783,42,4.333333333333333,0.9794639316973014,42,1.9761904761904763,0.9496622053642699,33,1,34,Vehicle,12,0,0.36363636363636365,0.35294117647058826,2.4705851202812563
coffeemachine,BOSS-2014 (v.2),42,0,0,0,0,0,0,42,coffee machine,30,0.7142857142857143,0.7142857142857143,8,1.5837077711021172,42,4.333333333333333,1.0744633752322357,42,3.0952380952380953,1.3580747457701736,33,5,38,Electronic device & accessory,13,2,0.3939393939393939,0.39473684210526316,1.838001737684281
convertible,BOSS-2014 (v.2),42,0,0,0,0,0,0,42,Convertible,12,0.2857142857142857,0.2857142857142857,9,2.6907692803376095,42,4.333333333333333,0.8458410929196722,42,2.6904761904761907,1.352289751713741,33,2,35,Vehicle,32,1,0.9696969696969697,0.9428571428571428,0.19590927087360496
cork02,BOSS-2014 (v.2),42,3,1,2,0.07142857142857142,0.023809523809523808,0.047619047619047616,36,cork,27,0.6428571428571429,0.75,4,1.0578848066418434,42,4.333333333333333,0.9794639316973014,42,1.5714285714285714,0.8873874272227613,33,3,36,Kitchen & utensil,20,0,0.6060606060606061,0.5555555555555556,1.917319895118735
